x	y	phi[x][y]
0.111111	0.040404	4.508954e-02
0.121212	0.040404	4.917778e-02
0.131313	0.040404	5.326003e-02
0.141414	0.040404	5.733449e-02
0.151515	0.040404	6.139904e-02
0.161616	0.040404	6.545124e-02
0.171717	0.040404	6.948829e-02
0.181818	0.040404	7.350702e-02
0.191919	0.040404	7.750389e-02
0.202020	0.040404	8.147495e-02
0.212121	0.040404	8.541584e-02
0.222222	0.040404	8.932179e-02
0.232323	0.040404	9.318759e-02
0.242424	0.040404	9.700763e-02
0.252525	0.040404	1.007759e-01
0.262626	0.040404	1.044858e-01
0.272727	0.040404	1.081307e-01
0.282828	0.040404	1.117031e-01
0.292929	0.040404	1.151957e-01
0.303030	0.040404	1.186003e-01
0.313131	0.040404	1.219089e-01
0.323232	0.040404	1.251129e-01
0.333333	0.040404	1.282038e-01
0.343434	0.040404	1.311727e-01
0.353535	0.040404	1.340109e-01
0.363636	0.040404	1.367094e-01
0.373737	0.040404	1.392595e-01
0.383838	0.040404	1.416526e-01
0.393939	0.040404	1.438802e-01
0.404040	0.040404	1.459344e-01
0.414141	0.040404	1.478073e-01
0.424242	0.040404	1.494919e-01
0.434343	0.040404	1.509815e-01
0.444444	0.040404	1.522700e-01
0.454545	0.040404	1.533522e-01
0.464646	0.040404	1.542236e-01
0.474747	0.040404	1.548805e-01
0.484848	0.040404	1.553202e-01
0.494949	0.040404	1.555406e-01
0.505051	0.040404	1.555408e-01
0.515152	0.040404	1.553210e-01
0.525253	0.040404	1.548819e-01
0.535354	0.040404	1.542255e-01
0.545455	0.040404	1.533546e-01
0.555556	0.040404	1.522729e-01
0.565657	0.040404	1.509849e-01
0.575758	0.040404	1.494959e-01
0.585859	0.040404	1.478118e-01
0.595960	0.040404	1.459393e-01
0.606061	0.040404	1.438856e-01
0.616162	0.040404	1.416584e-01
0.626263	0.040404	1.392658e-01
0.636364	0.040404	1.367161e-01
0.646465	0.040404	1.340179e-01
0.656566	0.040404	1.311801e-01
0.666667	0.040404	1.282115e-01
0.676768	0.040404	1.251210e-01
0.686869	0.040404	1.219172e-01
0.696970	0.040404	1.186089e-01
0.707071	0.040404	1.152045e-01
0.717172	0.040404	1.117122e-01
0.727273	0.040404	1.081399e-01
0.737374	0.040404	1.044952e-01
0.747475	0.040404	1.007853e-01
0.757576	0.040404	9.701716e-02
0.767677	0.040404	9.319716e-02
0.777778	0.040404	8.933136e-02
0.787879	0.040404	8.542538e-02
0.797980	0.040404	8.148443e-02
0.808081	0.040404	7.751326e-02
0.818182	0.040404	7.351625e-02
0.828283	0.040404	6.949733e-02
0.838384	0.040404	6.546006e-02
0.848485	0.040404	6.140760e-02
0.858586	0.040404	5.734275e-02
0.868687	0.040404	5.326795e-02
0.878788	0.040404	4.918533e-02
0.888889	0.040404	4.509668e-02
0.898990	0.040404	4.100353e-02
0.909091	0.040404	3.690713e-02
0.919192	0.040404	3.280850e-02
0.929293	0.040404	2.870843e-02
0.939394	0.040404	2.460753e-02
0.949495	0.040404	2.050623e-02
0.959596	0.040404	1.640482e-02
0.969697	0.040404	1.230345e-02
0.979798	0.040404	8.202205e-03
0.989899	0.040404	4.101072e-03
1.000000	0.040404	0.000000e+00
0.000000	0.050505	0.000000e+00
0.010101	0.050505	5.125261e-03
0.020202	0.050505	1.025069e-02
0.030303	0.050505	1.537639e-02
0.040404	0.050505	2.050242e-02
0.050505	0.050505	2.562875e-02
0.060606	0.050505	3.075521e-02
0.070707	0.050505	3.588148e-02
0.080808	0.050505	4.100708e-02
0.090909	0.050505	4.613129e-02
0.101010	0.050505	5.125317e-02
0.111111	0.050505	5.637150e-02
0.121212	0.050505	6.148474e-02
0.131313	0.050505	6.659104e-02
0.141414	0.050505	7.168818e-02
0.151515	0.050505	7.677355e-02
0.161616	0.050505	8.184414e-02
0.171717	0.050505	8.689647e-02
0.181818	0.050505	9.192662e-02
0.191919	0.050505	9.693018e-02
0.202020	0.050505	1.019022e-01
0.212121	0.050505	1.068374e-01
0.222222	0.050505	1.117296e-01
0.232323	0.050505	1.165725e-01
0.242424	0.050505	1.213589e-01
0.252525	0.050505	1.260813e-01
0.262626	0.050505	1.307317e-01
0.272727	0.050505	1.353013e-01
0.282828	0.050505	1.397811e-01
0.292929	0.050505	1.441616e-01
0.303030	0.050505	1.484328e-01
0.313131	0.050505	1.525843e-01
0.323232	0.050505	1.566056e-01
0.333333	0.050505	1.604856e-01
0.343434	0.050505	1.642133e-01
0.353535	0.050505	1.677775e-01
0.363636	0.050505	1.711670e-01
0.373737	0.050505	1.743707e-01
0.383838	0.050505	1.773777e-01
0.393939	0.050505	1.801773e-01
0.404040	0.050505	1.827593e-01
0.414141	0.050505	1.851140e-01
0.424242	0.050505	1.872320e-01
0.434343	0.050505	1.891051e-01
0.444444	0.050505	1.907257e-01
0.454545	0.050505	1.920868e-01
0.464646	0.050505	1.931830e-01
